DL NO DRIVER'S LICENSE                  ,76209,INITIAL ARRAIGNMENT           
PASS ILLEGAL PASS ON RIGHT OR ON SHOULDE,76201,INITIAL ARRAIGNMENT           
DL EXPIRED OPERATORS LICENSE            ,76201,INITIAL ARRAIGNMENT           
REGISTRATION EXPIRED REGISTRATION       ,76207,INITIAL ARRAIGNMENT           
RAN RED LIGHT                           ,76201,DEFERRED DISPOSITION          
PASS DISREGARD NO PASSING ZONE          ,76209,INITIAL ARRAIGNMENT           
REGISTRATION EXPIRED REGISTRATION       ,76201,COMPLIANCE DISMISSAL          
REGISTRATION EXPIRED REGISTRATION       ,76209,INITIAL ARRAIGNMENT           
REGISTRATION EXPIRED REGISTRATION       ,76209,INITIAL ARRAIGNMENT           
DL NO DRIVER'S LICENSE                  ,76209,RESET ARRAIGNMENT             
FAIL TO MAINTAIN FINANCIAL RESPONSIBILIT,76209,RESET ARRAIGNMENT             
VEHICLE W/O REQUIRED EQUIPMENT/UNSAFE CO,76207,INITIAL ARRAIGNMENT           
CONST ZONE SPEEDING 30 MPH ZN           ,76208,CASE CLOSED                   
FAIL TO YIELD ROW TO EMERGENCY VEHICLE  ,76209,INITIAL ARRAIGNMENT           
DL NO DRIVER'S LICENSE                  ,76209,INITIAL ARRAIGNMENT           
REGISTRATION EXPIRED REGISTRATION       ,76201,INITIAL ARRAIGNMENT           
FAIL TO MAINTAIN FINANCIAL RESPONSIBILIT,76201,INITIAL ARRAIGNMENT           
RAN RED LIGHT                           ,76201,INITIAL ARRAIGNMENT           
REGISTRATION EXPIRED REGISTRATION       ,76208,INITIAL ARRAIGNMENT           
DL NO DRIVER'S LICENSE                  ,76209,INITIAL ARRAIGNMENT           
REGISTRATION EXPIRED REGISTRATION       ,76209,INITIAL ARRAIGNMENT           
FAIL TO YIELD ROW TO EMERGENCY VEHICLE  ,76209,INITIAL ARRAIGNMENT           
DL NO DRIVER'S LICENSE                  ,76210,INITIAL ARRAIGNMENT           
REGISTRATION EXPIRED REGISTRATION       ,76207,INITIAL ARRAIGNMENT           
FAIL TO YIELD ROW ENTERING HIGHWAY FROM ,76209,INITIAL ARRAIGNMENT           
SPEEDING                                ,76208,DEFERRED DISPOSITION          
SPEEDING IN 30 MILE HOUR ZONE           ,76209,INITIAL ARRAIGNMENT           
FAIL TO DRIVE IN A SINGLE LANE          ,76209,INITIAL ARRAIGNMENT           
SPEEDING                                ,76201,INITIAL ARRAIGNMENT           
SPEEDING IN 30 MILE HOUR ZONE           ,76209,INITIAL ARRAIGNMENT           
SPEEDING IN 30 MILE HOUR ZONE           ,76209,INITIAL ARRAIGNMENT           
SAFETY BELT- DRIVER                     ,76205,INITIAL ARRAIGNMENT           
SPEED FAIL TO CONTROL SPEED             ,76209,CASE CLOSED                   
SPEEDING IN 30 MILE HOUR ZONE           ,76205,INITIAL ARRAIGNMENT           
SPEEDING IN 30 MILE HOUR ZONE           ,76207,CASE CLOSED                   
SPEEDING                                ,76208,INITIAL ARRAIGNMENT           
SPEEDING                                ,76207,INITIAL ARRAIGNMENT           
SPEEDING                                ,76201,INITIAL ARRAIGNMENT           
SPEEDING INTERSTATE HWY 35              ,76205,INITIAL ARRAIGNMENT           
SPEEDING IN 30 MILE HOUR ZONE           ,76209,INITIAL ARRAIGNMENT           
SPEEDING                                ,76205,INITIAL ARRAIGNMENT           
SAFETY SEAT- CHILD UNRESTRAINED UNDER 8 ,76205,INITIAL ARRAIGNMENT           
SPEEDING                                ,76210,DEFERRED DISPOSITION          
SPEED FAIL TO CONTROL SPEED             ,76209,INITIAL ARRAIGNMENT           
SPEEDING                                ,76209,INITIAL ARRAIGNMENT           
REGISTRATION EXPIRED REGISTRATION       ,76201,INITIAL ARRAIGNMENT           
DL NO DRIVER'S LICENSE                  ,76205,INITIAL ARRAIGNMENT           
TURN TURNED RIGHT TOO WIDE              ,76205,EXTENSION OF TIME TO PAY      
DL NO DRIVER'S LICENSE                  ,76201,INITIAL ARRAIGNMENT           
FAIL TO MAINTAIN FINANCIAL RESPONSIBILIT,76201,INITIAL ARRAIGNMENT           
REGISTRATION EXPIRED REGISTRATION       ,76201,COMPLIANCE DISMISSAL          
REGISTRATION EXPIRED REGISTRATION       ,76210,RESET ARRAIGNMENT             
DL NO DRIVER'S LICENSE                  ,76210,INITIAL ARRAIGNMENT           
FAIL TO MAINTAIN FINANCIAL RESPONSIBILIT,76210,INITIAL ARRAIGNMENT           
FAIL TO MAINTAIN FINANCIAL RESPONSIBILIT,76209,INITIAL ARRAIGNMENT           
REGISTRATION EXPIRED REGISTRATION       ,76207,INITIAL ARRAIGNMENT           
FAIL TO MAINTAIN FINANCIAL RESPONSIBILIT,76210,INITIAL ARRAIGNMENT           
DL NO DRIVER'S LICENSE                  ,76209,INITIAL ARRAIGNMENT           
FAIL TO MAINTAIN FINANCIAL RESPONSIBILIT,76201,INITIAL ARRAIGNMENT           
VEHICLE W/O REQUIRED EQUIPMENT/UNSAFE CO,76208,INITIAL ARRAIGNMENT           
REGISTRATION EXPIRED REGISTRATION       ,76208,INITIAL ARRAIGNMENT           
REGISTRATION EXPIRED REGISTRATION       ,76205,COMPLIANCE DISMISSAL          
FAIL TO MAINTAIN FINANCIAL RESPONSIBILIT,76209,INITIAL ARRAIGNMENT           
REGISTRATION EXPIRED BUYERS TAGS        ,76209,INITIAL ARRAIGNMENT           
FAIL TO ID DUTIES UPON STRIKING UNATTEND,76205,INITIAL ARRAIGNMENT           
REGISTRATION EXPIRED REGISTRATION       ,76208,INITIAL ARRAIGNMENT           
FAIL TO MAINTAIN FINANCIAL RESPONSIBILIT,76208,INITIAL ARRAIGNMENT           
SPEEDING SCHOOL ZONE                    ,76208,ATTORNEY PRE TRIAL            
